Name,Lat,Lon,Cluster
GP_1,41.25,-120.75,10
GP_10,48.5,-115.5,10
GP_100,47.0,-112.5,10
GP_1000,54.25,83.25,1
GP_10000,32.75,99.0,7
GP_10001,32.75,99.25,7
GP_10002,32.75,99.5,7
GP_10003,32.75,99.75,7
GP_10004,32.75,100.0,7
GP_10005,32.75,100.25,7
GP_10006,32.75,100.5,7
GP_10007,32.75,100.75,7
GP_10008,32.75,101.0,7
GP_10009,32.75,101.25,7
GP_1001,54.25,84.25,1
GP_10010,32.75,101.5,7
GP_10011,32.75,101.75,7
GP_10012,32.75,102.75,7
GP_10013,32.75,103.0,7
GP_10014,32.75,103.25,7
GP_10015,32.75,103.5,7
GP_10016,32.75,103.75,7
GP_10017,32.75,104.0,7
GP_10018,32.75,120.75,7
GP_10019,32.5,78.5,5
GP_1002,54.75,88.75,2
GP_10020,32.5,79.25,5
GP_10021,32.5,79.5,5
GP_10022,32.5,79.75,5
GP_10023,32.5,80.0,5
GP_10024,32.5,80.25,5
GP_10025,32.5,80.5,5
GP_10026,32.5,80.75,5
GP_10027,32.5,81.0,5
GP_10028,32.5,81.25,5
GP_10029,32.5,81.5,5
GP_1003,54.25,89.25,2
GP_10030,32.5,81.75,5
GP_10031,32.5,82.0,5
GP_10032,32.5,82.25,5
GP_10033,32.5,82.5,5
GP_10034,32.5,82.75,5
GP_10035,32.5,83.0,5
GP_10036,32.5,83.25,5
GP_10037,32.5,83.5,5
GP_10038,32.5,83.75,5
GP_10039,32.5,84.0,5
GP_1004,54.25,92.25,2
GP_10040,32.5,84.25,5
GP_10041,32.5,84.5,5
GP_10042,32.5,84.75,5
GP_10043,32.5,85.0,5
GP_10044,32.5,85.5,5
GP_10045,32.5,85.75,5
GP_10046,32.5,86.0,5
GP_10047,32.5,86.25,5
GP_10048,32.5,86.5,5
GP_10049,32.5,86.75,5
GP_1005,54.0,79.25,1
GP_10050,32.5,87.0,5
GP_10051,32.5,87.25,5
GP_10052,32.5,87.5,5
GP_10053,32.5,87.75,5
GP_10054,32.5,88.0,5
GP_10055,32.5,88.25,5
GP_10056,32.5,88.5,5
GP_10057,32.5,88.75,5
GP_10058,32.5,89.0,5
GP_10059,32.5,89.25,5
GP_1006,53.75,78.0,1
GP_10060,32.5,89.5,5
GP_10061,32.5,89.75,7
GP_10062,32.5,90.0,7
GP_10063,32.5,90.25,7
GP_10064,32.5,90.5,7
GP_10065,32.5,90.75,7
GP_10066,32.5,91.0,7
GP_10067,32.5,91.25,7
GP_10068,32.5,91.75,7
GP_10069,32.5,92.0,7
GP_1007,53.5,79.5,1
GP_10070,32.5,92.25,7
GP_10071,32.5,92.5,7
GP_10072,32.5,92.75,7
GP_10073,32.5,93.0,7
GP_10074,32.5,93.25,7
GP_10075,32.5,93.5,7
GP_10076,32.5,93.75,7
GP_10077,32.5,94.0,7
GP_10078,32.5,94.25,7
GP_10079,32.5,94.5,7
GP_1008,53.75,81.25,1
GP_10080,32.5,94.75,7
GP_10081,32.5,95.0,7
GP_10082,32.5,95.25,7
GP_10083,32.5,95.5,7
GP_10084,32.5,95.75,7
GP_10085,32.5,96.0,7
GP_10086,32.5,96.25,7
GP_10087,32.5,96.5,7
GP_10088,32.5,96.75,7
GP_10089,32.5,97.0,7
GP_1009,53.25,80.75,1
GP_10090,32.5,97.25,7
GP_10091,32.5,97.5,7
GP_10092,32.5,97.75,7
GP_10093,32.5,98.25,7
GP_10094,32.5,98.5,7
GP_10095,32.5,98.75,7
GP_10096,32.5,99.0,7
GP_10097,32.5,99.25,7
GP_10098,32.5,99.5,7
GP_10099,32.5,99.75,7
GP_101,47.0,-112.75,10
GP_1010,53.75,83.5,1
GP_10100,32.5,100.0,7
GP_10101,32.5,100.25,7
GP_10102,32.5,100.5,7
GP_10103,32.5,100.75,7
GP_10104,32.5,101.0,7
GP_10105,32.5,101.25,7
GP_10106,32.5,101.5,7
GP_10107,32.5,101.75,7
GP_10108,32.5,102.0,7
GP_10109,32.5,102.25,7
GP_1011,53.5,83.5,1
GP_10110,32.5,102.5,7
GP_10111,32.5,102.75,7
GP_10112,32.5,103.0,7
GP_10113,32.5,103.25,7
GP_10114,32.5,120.25,7
GP_10115,32.5,120.5,7
GP_10116,32.5,120.75,7
GP_10117,32.5,121.0,7
GP_10118,32.25,78.5,5
GP_10119,32.25,78.75,5
GP_1012,53.5,86.0,1
GP_10120,32.25,79.25,5
GP_10121,32.25,79.5,5
GP_10122,32.25,79.75,5
GP_10123,32.25,80.0,5
GP_10124,32.25,80.25,5
GP_10125,32.25,80.5,5
GP_10126,32.25,80.75,5
GP_10127,32.25,81.0,5
GP_10128,32.25,81.25,5
GP_10129,32.25,81.5,5
GP_1013,53.25,87.25,1
GP_10130,32.25,81.75,5
GP_10131,32.25,82.0,5
GP_10132,32.25,82.25,5
GP_10133,32.25,82.5,5
GP_10134,32.25,82.75,5
GP_10135,32.25,83.0,5
GP_10136,32.25,83.25,5
GP_10137,32.25,83.5,5
GP_10138,32.25,83.75,5
GP_10139,32.25,84.0,5
GP_1014,53.75,91.25,2
GP_10140,32.25,84.25,5
GP_10141,32.25,84.5,5
GP_10142,32.25,84.75,5
GP_10143,32.25,85.0,5
GP_10144,32.25,85.5,5
GP_10145,32.25,85.75,5
GP_10146,32.25,86.0,5
GP_10147,32.25,86.25,5
GP_10148,32.25,86.5,5
GP_10149,32.25,86.75,5
GP_1015,53.75,91.75,2
GP_10150,32.25,87.0,5
GP_10151,32.25,87.25,5
GP_10152,32.25,87.5,5
GP_10153,32.25,87.75,5
GP_10154,32.25,88.0,5
GP_10155,32.25,88.25,5
GP_10156,32.25,88.5,5
GP_10157,32.25,88.75,5
GP_10158,32.25,89.0,5
GP_10159,32.25,89.25,5
GP_1016,53.25,92.5,2
GP_10160,32.25,89.5,5
GP_10161,32.25,89.75,7
