ID;Network;ERA.Lat.G.N;ERA.Lon.G.N;ERA.Lat.G.N.RC;ERA.Lon.G.N.RC;Start.Date;End.Date;Day_Count;Value_Count;Data_term;ELV
GP_1;SNOTEL;196;958;41.25;-120.75;1984-10-01;2020-12-31;13240;13241;0.999924477003247;1728
GP_2;SNOTEL;180;972;45.25;-117.25;1980-10-01;2020-12-31;14701;14702;0.999931982043259;1757
GP_3;SNOTEL;212;1021;37.25;-105;1980-06-10;2020-12-31;14814;14815;0.999932500843739;2306
GP_4;SNOTEL;180;964;45.25;-119.25;1980-01-01;2020-12-31;14975;14976;0.999933226495726;1268
GP_5;SNOTEL;186;980;43.75;-115.25;1980-10-01;2020-12-31;14701;14300;1.02804195804196;2061
GP_6;SNOTEL;168;989;48.25;-113;1980-01-01;2020-12-31;14975;14611;1.02491273697899;1846
GP_7;SNOTEL;223;995;34.5;-111.5;1980-10-01;2020-12-31;14701;14702;0.999931982043259;1673
GP_8;SNOTEL;182;1010;44.75;-107.75;1980-01-01;2020-12-31;14975;14976;0.999933226495726;2427
GP_9;SNOTEL;225;1003;34;-109.5;1980-10-01;2020-12-31;14701;14702;0.999931982043259;2587
GP_10;SNOTEL;167;979;48.5;-115.5;1980-01-01;2020-12-31;14975;14976;0.999933226495726;1122
GP_11;SNOTEL;184;980;44.25;-115.25;1980-10-01;2020-12-31;14701;14674;1.00183998909636;2397
GP_12;SNOTEL;177;988;46;-113.25;1980-01-01;2020-12-31;14975;14976;0.999933226495726;2135
GP_13;SNOTEL;185;999;44;-110.5;1980-10-01;2020-12-31;14701;14627;1.00505913721201;2441
GP_14;SNOTEL;178;991;45.75;-112.5;1980-08-16;2020-12-31;14747;14734;1.00088231301751;1624
GP_15;SNOTEL;215;1016;36.5;-106.25;1980-01-01;2020-12-31;14975;14976;0.999933226495726;2101
GP_16;SNOTEL;197;1012;41;-107.25;1985-10-01;2020-12-31;12875;12876;0.999922336129233;2584
GP_17;SNOTEL;183;989;44.5;-113;1980-01-01;2020-12-31;14975;14976;0.999933226495726;2497
GP_18;SNOTEL;181;976;45;-116.25;1980-10-01;2020-12-31;14701;14638;1.00430386664845;1638
GP_19;SNOTEL;186;985;43.75;-114;1980-10-01;2020-12-31;14701;14702;0.999931982043259;2278
GP_20;SNOTEL;194;979;41.75;-115.5;1980-01-01;2020-12-31;14975;14976;0.999933226495726;2034
GP_21;SNOTEL;200;1018;40.25;-105.75;1980-10-01;2020-12-31;14701;14702;0.999931982043259;3056
GP_22;SNOTEL;168;977;48.25;-116;1980-10-01;2020-12-31;14701;14301;1.02797007202294;1157
GP_23;SNOTEL;183;973;44.5;-117;1981-10-01;2020-12-31;14336;14255;1.00568221676605;882
GP_24;SNOTEL;185;1013;44;-107;1980-08-01;2020-12-31;14762;14763;0.999932263090158;1794
GP_25;SNOTEL;181;1003;45;-109.5;1980-07-30;2020-12-31;14764;14763;1.00006773690984;2064
GP_26;SNOTEL;210;1011;37.75;-107.5;1982-10-01;2020-12-31;13971;13972;0.999928428285142;3237
GP_27;SNOTEL;181;996;45;-111.25;1980-01-01;2020-12-31;14975;14976;0.999933226495726;2276
GP_28;SNOTEL;204;995;39.25;-111.5;1980-01-01;2020-12-31;14975;14976;0.999933226495726;2564
GP_29;SNOTEL;199;997;40.5;-111;1980-01-01;2020-12-31;14975;14976;0.999933226495726;2351
